Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
23,09/07/2008,RD941,BOURGANEUF vers AUBUSSON,3305
23,16/03/2009,RD942,AHUN vers GUERET,2079
23,16/03/2009,RD940,LA CHATRE vers GUERET,1651
23,16/03/2009,RD993,MONTLUCON vers CHAMBON SUR VOUEIZE,3479
23,05/05/2011,RD941,AUBUSSON vers PONTARION,2251
24,01/02/2005,RD939,BRANTOME EN PERIGORD vers PERIGUEUX,3900
24,12/04/2005,RN221,PERIGUEUX vers LA DOUZE,1401
24,04/05/2005,RD6089,PERIGUEUX vers BRIVE LA GAILLARDE,2894
24,09/06/2005,RD6089,PERIGUEUX VERS BORDEAUX,155
24,22/08/2005,RD6089,BRIVE LA GAILLARDE vers PERIGUEUX,2289
24,26/11/2005,RD6021,BERGERAC VERS PERIGUEUX,525
24,30/06/2006,RD936,BORDEAUX vers BERGERAC,7273
24,14/02/2007,RD6089,BORDEAUX vers PERIGUEUX,1987
24,14/02/2007,RD710,LA DOUZE vers PERIGUEUX,3717
24,10/04/2007,RD936E1,PERIGUEUX vers BERGERAC,7240
24,18/01/2008,RD704,SOUILLAC vers SARLAT LA CANEDA,6818
24,14/02/2008,RN21,THIVIERS vers PERIGUEUX,944
24,10/07/2009,RD936,Bergerac vers Bordeaux,449
24,21/07/2009,RD936,BERGERAC vers BORDEAUX,4267
24,04/09/2009,RN21,Périgueux vers Limoges,614
24,25/05/2010,RD936,Bordeaux vers Bergerac,322
24,27/05/2010,A89,BORDEAUX vers PERIGUEUX,3862
24,03/05/2012,RN21,AGEN vers BERGERAC,1432
25,22/11/2003,RN57,JOUGNE VERS PONTARLIER,727
25,25/11/2003,RN57,PONTARLIER VERS JOUGNE,619
25,23/03/2005,RD34,AUDINCOURT VERS MONTBELIARD,995
25,08/08/2005,RD437,MAICHE VERS ST HIPPOLYTE,472
25,07/12/2005,RN83,LARNOD vers BESANCON,13347
25,13/02/2006,RD673,DOLE VERS MONTBELIARD,2315
25,18/06/2007,RD683,BAUME LES DAMES VERS BESANCON,5
25,23/07/2007,RN57,pontarlier vers besancon,5654
